candidate_id,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
gap_fade_0p50_1r,gap_fade,DEVELOPMENT,LONG_TRADES,14,4055.0,15545.0,-11490.0,1.3529155787641427,0.42857142857142855,289.64285714285717,-725.0,2590.8333333333335,-1436.25,1.8038874383521903,-7710.0,-7.71,0.5259403372243839,9,3,6,,,,25.065661764705883,27.714285714285715,7.5,19.30952380952381
gap_fade_0p50_1r,gap_fade,DEVELOPMENT,SHORT_TRADES,17,1025.0,13765.0,-12740.0,1.0804552590266876,0.47058823529411764,60.294117647058826,-805.0,1720.625,-1415.5555555555557,1.2155121664050235,-4560.0,-4.5600000000000005,0.22478070175438597,7,2,2,,,,30.436875,20.235294117647058,16.0,4.019607843137255
gap_fade_0p75_prior_close,gap_fade,DEVELOPMENT,ALL_TRADES,15,580.0,19920.0,-19340.0,1.0299896587383661,0.26666666666666666,38.666666666666664,-1070.0,4980.0,-1758.1818181818182,2.8324715615305065,-9245.0,-9.245000000000001,0.06273661438615467,4,1,4,,,,26.85606617647059,75.6,36.0,2.5777777777777775
gap_fade_0p75_prior_close,gap_fade,DEVELOPMENT,LONG_TRADES,7,-7030.0,3270.0,-10300.0,0.3174757281553398,0.14285714285714285,-1004.2857142857143,-1070.0,3270.0,-1716.6666666666667,1.9048543689320387,-10300.0,-10.299999999999999,-0.6825242718446602,6,0,6,,,,12.532830882352942,72.14285714285714,10.0,-66.95238095238095
gap_fade_0p75_prior_close,gap_fade,DEVELOPMENT,SHORT_TRADES,8,7610.0,16650.0,-9040.0,1.8418141592920354,0.375,951.25,-985.0,5550.0,-1808.0,3.0696902654867255,-4470.0,-4.47,1.7024608501118568,2,0,2,,,,14.323235294117648,78.625,42.0,63.416666666666664
gap_fade_0p75_1r,gap_fade,DEVELOPMENT,ALL_TRADES,15,6240.0,18015.0,-11775.0,1.5299363057324842,0.4666666666666667,416.0,-520.0,2573.5714285714284,-1471.875,1.7484986351228389,-6215.0,-6.215,1.00402252614642,5,3,3,,,,26.85606617647059,28.333333333333332,10.0,27.733333333333334
gap_fade_0p75_1r,gap_fade,DEVELOPMENT,LONG_TRADES,7,4395.0,9600.0,-5205.0,1.8443804034582132,0.42857142857142855,627.8571428571429,-520.0,3200.0,-1301.25,2.459173871277618,-5205.0,-5.205,0.8443804034582133,6,2,4,,,,12.532830882352942,29.0,7.0,41.85714285714286
gap_fade_0p75_1r,gap_fade,DEVELOPMENT,SHORT_TRADES,8,1845.0,8415.0,-6570.0,1.2808219178082192,0.5,230.625,377.5,2103.75,-1642.5,1.2808219178082192,-2600.0,-2.6,0.7096153846153846,3,1,2,,,,14.323235294117648,27.75,19.0,15.375
premarket_continuation_0p50_time,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,25,-4080.0,21635.0,-25715.0,0.8413377406183161,0.28,-163.2,-1025.0,3090.714285714286,-1428.611111111111,2.163439904447099,-20640.0,-20.64,-0.19767441860465115,19,0,11,-11620.0,,,44.76011029411765,130.28,23.0,-10.879999999999999
premarket_continuation_0p50_time,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,13,595.0,10355.0,-9760.0,1.0609631147540983,0.38461538461538464,45.76923076923077,-520.0,2071.0,-1220.0,1.6975409836065574,-5720.0,-5.72,0.10402097902097902,10,4,6,,,,23.27525735294118,164.69230769230768,72.0,3.051282051282051
premarket_continuation_0p50_time,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,12,-4675.0,11280.0,-15955.0,0.7069884048887496,0.16666666666666666,-389.5833333333333,-1342.5,5640.0,-1595.5,3.534942024443748,-14930.0,-14.93,-0.3131279303415941,9,0,9,,,,21.48485294117647,93.0,18.0,-25.97222222222222
premarket_continuation_0p50_1p5r,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,25,-9537.5,16177.5,-25715.0,0.629107524790978,0.28,-381.5,-1025.0,2311.0714285714284,-1428.611111111111,1.617705063748229,-19522.5,-19.5225,-0.48853886541170444,19,0,11,-17242.5,,,44.76011029411765,35.16,15.0,-25.433333333333334
premarket_continuation_0p50_1p5r,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,13,1842.5,11602.5,-9760.0,1.188780737704918,0.38461538461538464,141.73076923076923,-520.0,2320.5,-1220.0,1.902049180327869,-5720.0,-5.72,0.32211538461538464,10,4,6,,,,23.27525735294118,39.07692307692308,15.0,9.448717948717949
premarket_continuation_0p50_1p5r,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,12,-11380.0,4575.0,-15955.0,0.28674396740833596,0.16666666666666666,-948.3333333333334,-1342.5,2287.5,-1595.5,1.4337198370416797,-14930.0,-14.93,-0.7622237106496986,9,0,9,,,,21.48485294117647,30.916666666666668,12.5,-63.22222222222222
premarket_continuation_0p625_time,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,18,-6435.0,13340.0,-19775.0,0.6745891276864728,0.2222222222222222,-357.5,-1287.5,3335.0,-1412.5,2.361061946902655,-17600.0,-17.599999999999998,-0.365625,15,0,10,,,,32.227279411764705,111.22222222222223,20.5,-23.833333333333332
premarket_continuation_0p625_time,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,9,-2520.0,4320.0,-6840.0,0.631578947368421,0.3333333333333333,-280.0,-520.0,1440.0,-1140.0,1.263157894736842,-4870.0,-4.87,-0.5174537987679672,7,2,5,,,,16.113639705882353,143.77777777777777,27.0,-18.666666666666668
premarket_continuation_0p625_time,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,9,-3915.0,9020.0,-12935.0,0.697332817935833,0.1111111111111111,-435.0,-1350.0,9020.0,-1616.875,5.578662543486664,-12935.0,-12.934999999999999,-0.302667182064167,8,0,8,,,,16.113639705882353,78.66666666666667,18.0,-29.0
premarket_continuation_0p625_1p5r,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,18,-10482.5,9292.5,-19775.0,0.46991150442477875,0.2222222222222222,-582.3611111111111,-1287.5,2323.125,-1412.5,1.6446902654867257,-16227.5,-16.2275,-0.6459713449391465,15,0,10,,,,32.227279411764705,40.388888888888886,16.5,-38.82407407407407
premarket_continuation_0p625_1p5r,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,9,172.5,7012.5,-6840.0,1.025219298245614,0.3333333333333333,19.166666666666668,-520.0,2337.5,-1140.0,2.050438596491228,-4870.0,-4.87,0.03542094455852156,7,2,5,,,,16.113639705882353,43.44444444444444,27.0,1.277777777777778
premarket_continuation_0p625_1p5r,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,9,-10655.0,2280.0,-12935.0,0.17626594511016622,0.1111111111111111,-1183.888888888889,-1350.0,2280.0,-1616.875,1.4101275608813297,-12935.0,-12.934999999999999,-0.8237340548898338,8,0,8,,,,16.113639705882353,37.333333333333336,15.0,-78.92592592592592
premarket_continuation_0p75_time,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,9,-10860.0,0.0,-10860.0,0.0,0.0,-1206.6666666666667,-1265.0,,-1206.6666666666667,,-10860.0,-10.86,-1.0,9,0,9,,,,16.113639705882353,20.11111111111111,4.0,-80.44444444444444
premarket_continuation_0p75_time,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,5,-4870.0,0.0,-4870.0,0.0,0.0,-974.0,-685.0,,-974.0,,-4870.0,-4.87,-1.0,5,0,5,,,,8.95202205882353,25.4,1.0,-64.93333333333334
premarket_continuation_0p75_time,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,4,-5990.0,0.0,-5990.0,0.0,0.0,-1497.5,-1405.0,,-1497.5,,-5990.0,-5.99,-1.0,4,0,4,,,,7.161617647058824,13.5,14.5,-99.83333333333333
premarket_continuation_0p75_1p5r,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,9,-10860.0,0.0,-10860.0,0.0,0.0,-1206.6666666666667,-1265.0,,-1206.6666666666667,,-10860.0,-10.86,-1.0,9,0,9,,,,16.113639705882353,20.11111111111111,4.0,-80.44444444444444
premarket_continuation_0p75_1p5r,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,5,-4870.0,0.0,-4870.0,0.0,0.0,-974.0,-685.0,,-974.0,,-4870.0,-4.87,-1.0,5,0,5,,,,8.95202205882353,25.4,1.0,-64.93333333333334
premarket_continuation_0p75_1p5r,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,4,-5990.0,0.0,-5990.0,0.0,0.0,-1497.5,-1405.0,,-1497.5,,-5990.0,-5.99,-1.0,4,0,4,,,,7.161617647058824,13.5,14.5,-99.83333333333333
premarket_continuation_0p875_time,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
premarket_continuation_0p875_time,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
premarket_continuation_0p875_time,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
premarket_continuation_0p875_1p5r,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
