candidate_id,month,completed_trades,net_profit_usd,trade_profit_factor,maximum_drawdown_usd
opening_drive_0p50_1p5r,2026-07,6,-12482.5,0.27045587375803626,-15625.0
opening_drive_0p75_time,2026-01,6,-2185.0,0.601640838650866,-3745.0
opening_drive_0p75_time,2026-02,5,13415.0,inf,0.0
opening_drive_0p75_time,2026-03,5,3330.0,1.4250159540523293,-4015.0
opening_drive_0p75_time,2026-04,2,-8220.0,0.0,-8220.0
opening_drive_0p75_time,2026-05,3,760.0,1.2085048010973938,-3080.0
opening_drive_0p75_time,2026-06,4,5475.0,1.4765013054830287,-11490.0
opening_drive_0p75_time,2026-07,2,-4805.0,0.0,-4805.0
opening_drive_0p75_1p5r,2026-01,6,-2185.0,0.601640838650866,-3745.0
opening_drive_0p75_1p5r,2026-02,5,17342.5,inf,0.0
opening_drive_0p75_1p5r,2026-03,5,5075.0,1.6477345245692405,-4015.0
opening_drive_0p75_1p5r,2026-04,2,-8220.0,0.0,-8220.0
opening_drive_0p75_1p5r,2026-05,3,760.0,1.2085048010973938,-3080.0
opening_drive_0p75_1p5r,2026-06,4,2372.5,1.2064838990426459,-11490.0
opening_drive_0p75_1p5r,2026-07,2,-4805.0,0.0,-4805.0
opening_drive_1p00_time,2026-01,0,0.0,,0.0
opening_drive_1p00_time,2026-02,0,0.0,,0.0
opening_drive_1p00_time,2026-03,0,0.0,,0.0
opening_drive_1p00_time,2026-04,0,0.0,,0.0
opening_drive_1p00_time,2026-05,0,0.0,,0.0
opening_drive_1p00_time,2026-06,0,0.0,,0.0
opening_drive_1p00_time,2026-07,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-01,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-02,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-03,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-04,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-05,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-06,0,0.0,,0.0
opening_drive_1p00_1p5r,2026-07,0,0.0,,0.0
orb_control_exp005_15m_both_time,2026-01,20,4460.0,1.299731182795699,-7220.0
orb_control_exp005_15m_both_time,2026-02,19,30305.0,3.178648454349389,-7080.0
orb_control_exp005_15m_both_time,2026-03,22,-6470.0,0.8296696064235882,-21205.0
orb_control_exp005_15m_both_time,2026-04,21,1220.0,1.0438454627133873,-12290.0
orb_control_exp005_15m_both_time,2026-05,20,-11470.0,0.6120412650093016,-17685.0
orb_control_exp005_15m_both_time,2026-06,21,-26290.0,0.5107927056196502,-39380.0
orb_control_exp005_15m_both_time,2026-07,16,-15575.0,0.47778709136630343,-24555.0
orb_control_exp007_30m_long_1r,2026-01,10,2725.0,1.485307212822796,-4370.0
orb_control_exp007_30m_long_1r,2026-02,12,4480.0,1.6488052136133238,-4400.0
orb_control_exp007_30m_long_1r,2026-03,12,2670.0,1.2184049079754602,-12225.0
orb_control_exp007_30m_long_1r,2026-04,16,15140.0,3.0418071476736346,-3305.0
orb_control_exp007_30m_long_1r,2026-05,16,13840.0,3.0174927113702625,-4770.0
orb_control_exp007_30m_long_1r,2026-06,15,-15005.0,0.5428789032749429,-27905.0
orb_control_exp007_30m_long_1r,2026-07,9,1865.0,1.2470198675496689,-6565.0
