sequence,session_date,previous_session_date,explicit_contract_symbol,previous_window_start_new_york,previous_window_end_new_york,current_window_start_new_york,current_window_end_new_york,previous_export_path,current_export_path,final_relative_path,source,resolution,timestamp_timezone,required_columns,pretrimmed_to_allowed_windows
11,2021-05-19,2021-05-18,NQM21,2021-05-18 09:30:00,2021-05-18 15:59:00,2021-05-19 09:30:00,2021-05-19 09:35:00,data/EXP-025/quantower_export_staging/11_2021-05-19_NQM21_previous.csv,data/EXP-025/quantower_export_staging/11_2021-05-19_NQM21_current.csv,raw/11_2021-05-19_NQM21.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
12,2021-06-04,2021-06-03,NQM21,2021-06-03 09:30:00,2021-06-03 15:59:00,2021-06-04 09:30:00,2021-06-04 09:35:00,data/EXP-025/quantower_export_staging/12_2021-06-04_NQM21_previous.csv,data/EXP-025/quantower_export_staging/12_2021-06-04_NQM21_current.csv,raw/12_2021-06-04_NQM21.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
13,2021-06-15,2021-06-14,NQM21,2021-06-14 09:30:00,2021-06-14 15:59:00,2021-06-15 09:30:00,2021-06-15 09:35:00,data/EXP-025/quantower_export_staging/13_2021-06-15_NQM21_previous.csv,data/EXP-025/quantower_export_staging/13_2021-06-15_NQM21_current.csv,raw/13_2021-06-15_NQM21.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
14,2021-06-17,2021-06-16,NQU21,2021-06-16 09:30:00,2021-06-16 15:59:00,2021-06-17 09:30:00,2021-06-17 09:35:00,data/EXP-025/quantower_export_staging/14_2021-06-17_NQU21_previous.csv,data/EXP-025/quantower_export_staging/14_2021-06-17_NQU21_current.csv,raw/14_2021-06-17_NQU21.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
15,2021-10-15,2021-10-14,NQZ21,2021-10-14 09:30:00,2021-10-14 15:59:00,2021-10-15 09:30:00,2021-10-15 09:35:00,data/EXP-025/quantower_export_staging/15_2021-10-15_NQZ21_previous.csv,data/EXP-025/quantower_export_staging/15_2021-10-15_NQZ21_current.csv,raw/15_2021-10-15_NQZ21.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
16,2021-12-14,2021-12-13,NQH22,2021-12-13 09:30:00,2021-12-13 15:59:00,2021-12-14 09:30:00,2021-12-14 09:35:00,data/EXP-025/quantower_export_staging/16_2021-12-14_NQH22_previous.csv,data/EXP-025/quantower_export_staging/16_2021-12-14_NQH22_current.csv,raw/16_2021-12-14_NQH22.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
17,2022-02-17,2022-02-16,NQH22,2022-02-16 09:30:00,2022-02-16 15:59:00,2022-02-17 09:30:00,2022-02-17 09:35:00,data/EXP-025/quantower_export_staging/17_2022-02-17_NQH22_previous.csv,data/EXP-025/quantower_export_staging/17_2022-02-17_NQH22_current.csv,raw/17_2022-02-17_NQH22.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
18,2022-08-17,2022-08-16,NQU22,2022-08-16 09:30:00,2022-08-16 15:59:00,2022-08-17 09:30:00,2022-08-17 09:35:00,data/EXP-025/quantower_export_staging/18_2022-08-17_NQU22_previous.csv,data/EXP-025/quantower_export_staging/18_2022-08-17_NQU22_current.csv,raw/18_2022-08-17_NQU22.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
19,2022-10-14,2022-10-13,NQZ22,2022-10-13 09:30:00,2022-10-13 15:59:00,2022-10-14 09:30:00,2022-10-14 09:35:00,data/EXP-025/quantower_export_staging/19_2022-10-14_NQZ22_previous.csv,data/EXP-025/quantower_export_staging/19_2022-10-14_NQZ22_current.csv,raw/19_2022-10-14_NQZ22.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
20,2023-01-04,2023-01-03,NQH23,2023-01-03 09:30:00,2023-01-03 15:59:00,2023-01-04 09:30:00,2023-01-04 09:35:00,data/EXP-025/quantower_export_staging/20_2023-01-04_NQH23_previous.csv,data/EXP-025/quantower_export_staging/20_2023-01-04_NQH23_current.csv,raw/20_2023-01-04_NQH23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
21,2023-02-08,2023-02-07,NQH23,2023-02-07 09:30:00,2023-02-07 15:59:00,2023-02-08 09:30:00,2023-02-08 09:35:00,data/EXP-025/quantower_export_staging/21_2023-02-08_NQH23_previous.csv,data/EXP-025/quantower_export_staging/21_2023-02-08_NQH23_current.csv,raw/21_2023-02-08_NQH23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
22,2023-02-22,2023-02-21,NQH23,2023-02-21 09:30:00,2023-02-21 15:59:00,2023-02-22 09:30:00,2023-02-22 09:35:00,data/EXP-025/quantower_export_staging/22_2023-02-22_NQH23_previous.csv,data/EXP-025/quantower_export_staging/22_2023-02-22_NQH23_current.csv,raw/22_2023-02-22_NQH23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
23,2023-02-24,2023-02-23,NQH23,2023-02-23 09:30:00,2023-02-23 15:59:00,2023-02-24 09:30:00,2023-02-24 09:35:00,data/EXP-025/quantower_export_staging/23_2023-02-24_NQH23_previous.csv,data/EXP-025/quantower_export_staging/23_2023-02-24_NQH23_current.csv,raw/23_2023-02-24_NQH23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
24,2023-04-20,2023-04-19,NQM23,2023-04-19 09:30:00,2023-04-19 15:59:00,2023-04-20 09:30:00,2023-04-20 09:35:00,data/EXP-025/quantower_export_staging/24_2023-04-20_NQM23_previous.csv,data/EXP-025/quantower_export_staging/24_2023-04-20_NQM23_current.csv,raw/24_2023-04-20_NQM23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
25,2023-06-22,2023-06-21,NQU23,2023-06-21 09:30:00,2023-06-21 15:59:00,2023-06-22 09:30:00,2023-06-22 09:35:00,data/EXP-025/quantower_export_staging/25_2023-06-22_NQU23_previous.csv,data/EXP-025/quantower_export_staging/25_2023-06-22_NQU23_current.csv,raw/25_2023-06-22_NQU23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
26,2023-07-06,2023-07-05,NQU23,2023-07-05 09:30:00,2023-07-05 15:59:00,2023-07-06 09:30:00,2023-07-06 09:35:00,data/EXP-025/quantower_export_staging/26_2023-07-06_NQU23_previous.csv,data/EXP-025/quantower_export_staging/26_2023-07-06_NQU23_current.csv,raw/26_2023-07-06_NQU23.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
