session_date,market_open_utc,market_close_utc,expected_cash_minutes,expected_five_minute_bars
2024-08-07,2024-08-07T13:30:00+0000,2024-08-07T20:00:00+0000,390,78
2024-08-08,2024-08-08T13:30:00+0000,2024-08-08T20:00:00+0000,390,78
2024-08-09,2024-08-09T13:30:00+0000,2024-08-09T20:00:00+0000,390,78
2024-08-12,2024-08-12T13:30:00+0000,2024-08-12T20:00:00+0000,390,78
2024-08-13,2024-08-13T13:30:00+0000,2024-08-13T20:00:00+0000,390,78
2024-08-14,2024-08-14T13:30:00+0000,2024-08-14T20:00:00+0000,390,78
2024-08-15,2024-08-15T13:30:00+0000,2024-08-15T20:00:00+0000,390,78
2024-08-16,2024-08-16T13:30:00+0000,2024-08-16T20:00:00+0000,390,78
2024-08-19,2024-08-19T13:30:00+0000,2024-08-19T20:00:00+0000,390,78
2024-08-20,2024-08-20T13:30:00+0000,2024-08-20T20:00:00+0000,390,78
2024-08-21,2024-08-21T13:30:00+0000,2024-08-21T20:00:00+0000,390,78
2024-08-22,2024-08-22T13:30:00+0000,2024-08-22T20:00:00+0000,390,78
2024-08-23,2024-08-23T13:30:00+0000,2024-08-23T20:00:00+0000,390,78
2024-08-26,2024-08-26T13:30:00+0000,2024-08-26T20:00:00+0000,390,78
2024-08-27,2024-08-27T13:30:00+0000,2024-08-27T20:00:00+0000,390,78
2024-08-28,2024-08-28T13:30:00+0000,2024-08-28T20:00:00+0000,390,78
2024-08-29,2024-08-29T13:30:00+0000,2024-08-29T20:00:00+0000,390,78
2024-08-30,2024-08-30T13:30:00+0000,2024-08-30T20:00:00+0000,390,78
2024-09-03,2024-09-03T13:30:00+0000,2024-09-03T20:00:00+0000,390,78
2024-09-04,2024-09-04T13:30:00+0000,2024-09-04T20:00:00+0000,390,78
2024-09-05,2024-09-05T13:30:00+0000,2024-09-05T20:00:00+0000,390,78
2024-09-06,2024-09-06T13:30:00+0000,2024-09-06T20:00:00+0000,390,78
2024-09-09,2024-09-09T13:30:00+0000,2024-09-09T20:00:00+0000,390,78
2024-09-10,2024-09-10T13:30:00+0000,2024-09-10T20:00:00+0000,390,78
2024-09-11,2024-09-11T13:30:00+0000,2024-09-11T20:00:00+0000,390,78
2024-09-12,2024-09-12T13:30:00+0000,2024-09-12T20:00:00+0000,390,78
2024-09-13,2024-09-13T13:30:00+0000,2024-09-13T20:00:00+0000,390,78
2024-09-16,2024-09-16T13:30:00+0000,2024-09-16T20:00:00+0000,390,78
2024-09-17,2024-09-17T13:30:00+0000,2024-09-17T20:00:00+0000,390,78
2024-09-18,2024-09-18T13:30:00+0000,2024-09-18T20:00:00+0000,390,78
2024-09-19,2024-09-19T13:30:00+0000,2024-09-19T20:00:00+0000,390,78
2024-09-20,2024-09-20T13:30:00+0000,2024-09-20T20:00:00+0000,390,78
2024-09-23,2024-09-23T13:30:00+0000,2024-09-23T20:00:00+0000,390,78
2024-09-24,2024-09-24T13:30:00+0000,2024-09-24T20:00:00+0000,390,78
2024-09-25,2024-09-25T13:30:00+0000,2024-09-25T20:00:00+0000,390,78
2024-09-26,2024-09-26T13:30:00+0000,2024-09-26T20:00:00+0000,390,78
2024-09-27,2024-09-27T13:30:00+0000,2024-09-27T20:00:00+0000,390,78
2024-09-30,2024-09-30T13:30:00+0000,2024-09-30T20:00:00+0000,390,78
2024-10-01,2024-10-01T13:30:00+0000,2024-10-01T20:00:00+0000,390,78
2024-10-02,2024-10-02T13:30:00+0000,2024-10-02T20:00:00+0000,390,78
2024-10-03,2024-10-03T13:30:00+0000,2024-10-03T20:00:00+0000,390,78
2024-10-04,2024-10-04T13:30:00+0000,2024-10-04T20:00:00+0000,390,78
2024-10-07,2024-10-07T13:30:00+0000,2024-10-07T20:00:00+0000,390,78
2024-10-08,2024-10-08T13:30:00+0000,2024-10-08T20:00:00+0000,390,78
2024-10-09,2024-10-09T13:30:00+0000,2024-10-09T20:00:00+0000,390,78
2024-10-10,2024-10-10T13:30:00+0000,2024-10-10T20:00:00+0000,390,78
2024-10-11,2024-10-11T13:30:00+0000,2024-10-11T20:00:00+0000,390,78
2024-10-14,2024-10-14T13:30:00+0000,2024-10-14T20:00:00+0000,390,78
