series_id,experiment_id,market,session_date,net_pnl_usd,cumulative_net_pnl_usd,equity_usd,drawdown_usd,drawdown_percent,had_trade
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-04,3805.0,13500.0,113500.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-05,0.0,13500.0,113500.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-06,0.0,13500.0,113500.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-09,0.0,13500.0,113500.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-10,0.0,13500.0,113500.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-11,-135.0,13365.0,113365.0,-135.0,-0.11894273127753305,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-12,8430.0,21795.0,121795.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-13,0.0,21795.0,121795.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-16,0.0,21795.0,121795.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-17,-6655.0,15140.0,115140.0,-6655.0,-5.464099511474198,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-18,930.0,16070.0,116070.0,-5725.0,-4.700521367872244,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-19,0.0,16070.0,116070.0,-5725.0,-4.700521367872244,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-20,3045.0,19115.0,119115.0,-2680.0,-2.20041873640133,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-23,0.0,19115.0,119115.0,-2680.0,-2.20041873640133,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-24,0.0,19115.0,119115.0,-2680.0,-2.20041873640133,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-25,875.0,19990.0,119990.0,-1805.0,-1.4819984400016422,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-26,2565.0,22555.0,122555.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-27,0.0,22555.0,122555.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-02,3580.0,26135.0,126135.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-03,0.0,26135.0,126135.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-04,0.0,26135.0,126135.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-05,-4015.0,22120.0,122120.0,-4015.0,-3.183097474927657,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-06,0.0,22120.0,122120.0,-4015.0,-3.183097474927657,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-09,0.0,22120.0,122120.0,-4015.0,-3.183097474927657,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-10,0.0,22120.0,122120.0,-4015.0,-3.183097474927657,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-11,-1740.0,20380.0,120380.0,-5755.0,-4.562571847623579,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-12,1720.0,22100.0,122100.0,-4035.0,-3.1989535022000233,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-13,0.0,22100.0,122100.0,-4035.0,-3.1989535022000233,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-16,-2265.0,19835.0,119835.0,-6300.0,-4.994648590795577,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-17,-2590.0,17245.0,117245.0,-8890.0,-7.04800412256709,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-18,0.0,17245.0,117245.0,-8890.0,-7.04800412256709,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-19,0.0,17245.0,117245.0,-8890.0,-7.04800412256709,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-20,4405.0,21650.0,121650.0,-4485.0,-3.555714115828279,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-23,-3375.0,18275.0,118275.0,-7860.0,-6.231418718040195,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-24,0.0,18275.0,118275.0,-7860.0,-6.231418718040195,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-25,0.0,18275.0,118275.0,-7860.0,-6.231418718040195,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-03-26,0.0,18275.0,118275.0,-7860.0,-6.231418718040195,False
