series_id,experiment_id,candidate_id,family_id,market,trade_id,session_date,direction,entry_time,exit_time,holding_minutes,entry_price,exit_price,gross_pnl_usd,transaction_cost_usd,net_pnl_usd,risk_points,initial_risk_usd,contracts,exit_reason,mae_usd,mfe_usd,captured_fraction_of_mfe,source_row_number
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,1,2026-01-05,long,2026-01-05T15:30:00+00:00,2026-01-05T19:00:00+00:00,210.0,26163.25,26101.75,-1230.0,15.0,-1245.0,135.75,2715.0,1,forced_flat_1200,,,,1
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,2,2026-01-06,long,2026-01-06T15:25:00+00:00,2026-01-06T19:00:00+00:00,215.0,26252.25,26294.0,835.0,15.0,820.0,155.25,3105.0,1,forced_flat_1200,,,,2
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,3,2026-01-07,long,2026-01-07T15:35:00+00:00,2026-01-07T17:44:00+00:00,129.0,26371.0,26482.0,2220.0,15.0,2205.0,111.0,2220.0,1,profit_target,,,,3
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,4,2026-01-09,long,2026-01-09T15:25:00+00:00,2026-01-09T18:38:00+00:00,193.0,26289.0,26440.5,3030.0,15.0,3015.0,151.5,3030.0,1,profit_target,,,,4
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,5,2026-01-12,long,2026-01-12T16:10:00+00:00,2026-01-12T19:00:00+00:00,170.0,26414.5,26467.5,1060.0,15.0,1045.0,182.0,3640.0,1,forced_flat_1200,,,,5
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,6,2026-01-20,long,2026-01-20T15:35:00+00:00,2026-01-20T18:33:00+00:00,178.0,25874.5,25722.75,-3035.0,15.0,-3050.0,151.75,3035.0,1,protective_stop,,,,6
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,7,2026-01-21,long,2026-01-21T15:20:00+00:00,2026-01-21T19:00:00+00:00,220.0,25836.5,25771.25,-1305.0,15.0,-1320.0,220.0,4400.0,1,forced_flat_1200,,,,7
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,8,2026-01-23,long,2026-01-23T15:05:00+00:00,2026-01-23T19:00:00+00:00,235.0,26200.75,26215.25,290.0,15.0,275.0,149.25,2985.0,1,forced_flat_1200,,,,8
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,9,2026-01-26,long,2026-01-26T15:20:00+00:00,2026-01-26T19:00:00+00:00,220.0,26360.25,26387.25,540.0,15.0,525.0,167.0,3340.0,1,forced_flat_1200,,,,9
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,10,2026-01-27,long,2026-01-27T15:10:00+00:00,2026-01-27T19:00:00+00:00,230.0,26555.5,26579.0,470.0,15.0,455.0,149.25,2985.0,1,forced_flat_1200,,,,10
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,11,2026-02-02,long,2026-02-02T15:10:00+00:00,2026-02-02T19:00:00+00:00,230.0,26320.0,26430.75,2215.0,15.0,2200.0,291.25,5825.0,1,forced_flat_1200,,,,11
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,12,2026-02-06,long,2026-02-06T16:15:00+00:00,2026-02-06T19:00:00+00:00,165.0,25491.25,25573.25,1640.0,15.0,1625.0,301.5,6030.0,1,forced_flat_1200,,,,12
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,13,2026-02-09,long,2026-02-09T15:10:00+00:00,2026-02-09T19:00:00+00:00,230.0,25687.5,25859.0,3430.0,15.0,3415.0,243.0,4860.0,1,forced_flat_1200,,,,13
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,14,2026-02-10,long,2026-02-10T15:10:00+00:00,2026-02-10T19:00:00+00:00,230.0,25924.25,25801.5,-2455.0,15.0,-2470.0,179.5,3590.0,1,forced_flat_1200,,,,14
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,15,2026-02-13,long,2026-02-13T15:35:00+00:00,2026-02-13T19:00:00+00:00,205.0,25397.0,25429.5,650.0,15.0,635.0,329.25,6585.0,1,forced_flat_1200,,,,15
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,16,2026-02-17,long,2026-02-17T18:40:00+00:00,2026-02-17T19:00:00+00:00,20.0,25307.5,25334.5,540.0,15.0,525.0,343.5,6870.0,1,forced_flat_1200,,,,16
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,17,2026-02-18,long,2026-02-18T15:05:00+00:00,2026-02-18T19:00:00+00:00,235.0,25505.75,25514.75,180.0,15.0,165.0,264.75,5295.0,1,forced_flat_1200,,,,17
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,18,2026-02-19,long,2026-02-19T15:05:00+00:00,2026-02-19T18:20:00+00:00,195.0,25414.0,25252.0,-3240.0,15.0,-3255.0,162.0,3240.0,1,protective_stop,,,,18
